pfma,year,pieces,tonnes,annualeffort,totaleffort
PFMA 16,1991,7226.173112,17.99317105,38670,42150.3
PFMA 17,1991,1020.186749,2.540265004,49312,53750.08
PFMA 18,1991,43.67226242,0.108743933,18611,20285.99
PFMA 19,1991,267.0002507,0.664830624,32301,35208.09
PFMA 20,1991,156.8716709,0.390610461,74669,81389.21
PFMA 28,1991,104.791993,0.260932063,14160,15434.4
PFMA 29,1991,1419.50907,3.534577583,27957,30473.13
PFMA 13,1992,513.8811823,1.279564144,84804,92436.36
PFMA 14,1992,1154.934453,2.875786787,122943,134007.87
PFMA 15,1992,339.0016754,0.844114172,7349,8010.41
PFMA 16,1992,6612.167685,16.46429753,58403,63659.27
PFMA 17,1992,896.4212878,2.232089007,57921,63133.89
PFMA 18,1992,61.75928973,0.153780631,18216,19855.44
PFMA 19,1992,300.6447977,0.748605546,29173,31798.57
PFMA 20,1992,198.3350886,0.493854371,52234,56935.06
PFMA 28,1992,68.95822454,0.171705979,14765,16093.85
PFMA 29,1992,409.3456749,1.01927073,13520,14736.8
PFMA 13,1993,556.4874746,1.385653812,96948,105673.32
PFMA 14,1993,770.3709701,1.918223716,124920,136162.8
PFMA 15,1993,335.7807569,0.836094085,8982,9790.38
PFMA 16,1993,3178.381033,7.914168772,58897,64197.73
PFMA 17,1993,752.9316477,1.874799803,74275,80959.75
PFMA 18,1993,35.71741177,0.088936355,15824,17248.16
PFMA 19,1993,318.0285624,0.79189112,31417,34244.53
PFMA 20,1993,240.00739,0.597618401,53233,58023.97
PFMA 28,1993,52.64490862,0.131085822,9836,10721.24
PFMA 29,1993,591.5529434,1.472966829,23694,25826.46
PFMA 13,1994,990.5082676,2.466365586,93333,101732.97
PFMA 14,1994,2061.731329,5.13371101,109147,118970.23
PFMA 15,1994,760.4051833,1.893408906,11753,12810.77
PFMA 16,1994,4449.490636,11.07923168,39654,43222.86
PFMA 17,1994,987.3131165,2.45840966,52693,57435.37
PFMA 18,1994,35.34680309,0.08801354,12317,13425.53
PFMA 19,1994,310.9537744,0.774274898,19028,20740.52
PFMA 20,1994,203.8008791,0.507464189,67364,73426.76
PFMA 28,1994,115.9164491,0.288631958,13295,14491.55
PFMA 29,1994,774.9712939,1.929678522,22160,24154.4
PFMA 13,1995,683.1795737,1.701117139,59711,65084.99
PFMA 14,1995,1055.579902,2.628393955,70611,76965.99
PFMA 15,1995,596.675158,1.485721143,7056,7691.04
PFMA 16,1995,4458.596006,11.10190405,32199,35096.91
PFMA 17,1995,761.8150567,1.896919491,35062,38217.58
PFMA 18,1995,37.37853283,0.093072547,13331,14530.79
PFMA 19,1995,219.0489102,0.545431786,18573,20244.57
PFMA 20,1995,151.9629036,0.37838763,63935,69689.15
PFMA 28,1995,50.96953873,0.126914151,9207,10035.63
PFMA 29,1995,502.4173172,1.25101912,13957,15213.13
PFMA 13,1996,822.1253833,2.047092204,54571,59482.39
PFMA 14,1996,439.5485135,1.094475799,49690,54162.1
PFMA 15,1996,505.9526193,1.259822022,8794,9585.46
PFMA 16,1996,5006.587503,12.46640288,36709,40012.81
PFMA 17,1996,339.5269029,0.845421988,33444,36453.96
PFMA 18,1996,20.40333157,0.050804296,11087,12084.83
PFMA 19,1996,281.2845844,0.700398615,19912,21704.08
PFMA 20,1996,154.3650663,0.384369015,53943,58797.87
PFMA 28,1996,65.27241079,0.162528303,9071,9887.39
PFMA 29,1996,310.2791772,0.772595151,11515,12551.35
PFMA 13,1997,701.2080214,1.746007973,41317,45035.53
PFMA 14,1997,513.2765566,1.278058626,48926,53329.34
PFMA 15,1997,608.7536025,1.51579647,6686,7287.74
PFMA 16,1997,3258.963554,8.11481925,28363,30915.67
PFMA 17,1997,503.5437423,1.253823918,23653,25781.77
PFMA 18,1997,32.580474,0.08112538,12744,13890.96
PFMA 19,1997,152.9950965,0.38095779,20220,22039.8
PFMA 20,1997,122.5799275,0.305224019,67490,73564.1
PFMA 28,1997,67.44560487,0.167939556,11596,12639.64
PFMA 29,1997,319.3017372,0.795061326,11848,12914.32
PFMA 13,1998,1060.12202,2.639703829,25727,28042.43
PFMA 14,1998,304.2007448,0.757459855,27513,29989.17
PFMA 15,1998,590.2333209,1.469680969,4362,4754.58
PFMA 16,1998,2698.528052,6.71933485,16974,18501.66
PFMA 17,1998,457.9723561,1.140351167,15524,16921.16
PFMA 18,1998,22.13063275,0.055105276,9876,10764.84
PFMA 19,1998,183.9444863,0.458021771,15469,16861.21
PFMA 20,1998,324.3267834,0.807573691,35348,38529.32
PFMA 28,1998,21.83724978,0.054374752,10678,11639.02
PFMA 29,1998,74.42098142,0.185308244,5386,5870.74
PFMA 13,1999,765.5752135,1.906282282,31559,34399.31
PFMA 14,1999,205.1779287,0.510893043,22547,24576.23
PFMA 15,1999,154.0672698,0.383627502,2530,2757.7
PFMA 16,1999,2678.799751,6.670211381,16297,17763.73
PFMA 17,1999,272.9766186,0.67971178,20814,22687.26
PFMA 18,1999,8.497527648,0.021158844,8819,9612.71
PFMA 19,1999,139.6540679,0.347738629,9978,10876.02
PFMA 20,1999,235.2726924,0.585829004,35474,38666.66
PFMA 28,1999,47.81984334,0.11907141,10594,11547.46
PFMA 29,1999,59.94855297,0.149271897,4813,5246.17
PFMA 12,2000,1487,3.70263,18083,18083
PFMA 13,2000,385,0.95865,40512,40512
PFMA 14,2000,394,0.98106,24201,24201
PFMA 15,2000,229,0.57021,3348,3348
PFMA 16,2000,2152,5.35848,16470,16470
PFMA 17,2000,865,2.15385,17269,17269
PFMA 18,2000,20,0.0498,8588,8588
PFMA 19,2000,323,0.80427,15365,15365
PFMA 20,2000,438,1.09062,41711,41711
PFMA 28,2000,66,0.16434,9707,9707
PFMA 29,2000,65,0.16185,6616,6616
PFMA 12,2001,759,1.88991,10826,10826
PFMA 13,2001,777,1.93473,42241,42241
PFMA 14,2001,1331,3.31419,23325,23325
PFMA 15,2001,574,1.42926,3707,3707
PFMA 16,2001,3861,9.61389,16200,16200
PFMA 17,2001,952,2.37048,27241,27241
PFMA 18,2001,31,0.07719,11933,11933
PFMA 19,2001,56,0.13944,18996,18996
PFMA 20,2001,277,0.68973,44029,44029
PFMA 29,2001,215,0.53535,7847,7847
PFMA 12,2002,84,0.20916,5016,5016
PFMA 13,2002,183,0.45567,40330,40330
PFMA 14,2002,1728,4.30272,41881,41881
PFMA 15,2002,344,0.85656,5333,5333
PFMA 16,2002,628,1.56372,16855,16855
PFMA 17,2002,213,0.53037,23132,23132
PFMA 19,2002,48,0.11952,20506,20506
PFMA 20,2002,46,0.11454,46428,46428
PFMA 28,2002,42,0.10458,9930,9930
PFMA 29,2002,48,0.11952,7997,7997
PFMA 12,2003,497,1.23753,14058,14058
PFMA 13,2003,4,0.00996,31562,31562
PFMA 14,2003,110,0.2739,18823,18823
PFMA 15,2003,127,0.31623,4378,4378
PFMA 16,2003,2608,6.49392,14788,14788
PFMA 17,2003,250,0.6225,16510,16510
PFMA 18,2003,18,0.04482,9656,9656
PFMA 19,2003,7,0.01743,14201,14201
PFMA 20,2003,52,0.12948,43543,43543
PFMA 28,2003,35,0.08715,20828,20828
PFMA 29,2003,89,0.22161,8880,8880
PFMA 12,2004,176,0.43824,16367,16367
PFMA 13,2004,64,0.15936,30288,30288
PFMA 14,2004,1691,4.21059,10037,10037
PFMA 15,2004,168,0.41832,2482,2482
PFMA 16,2004,737,1.83513,6489,6489
