survey_series_id,survey_series_desc,survey_id,survey_desc,year,fishing_event_id,latitude,longitude,fe_end_deployment_time,fe_begin_retrieval_time,depth_m,hook_code,skate_count,lglsp_hook_count,area_swept_km2,ye_count,dogfish_count
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369479,49.185333,-123.301833,10/18/1986 8:45,10/18/1986 10:42,70,3,NA,500,0.011148365,NA,103
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369481,49.203166,-123.346166,10/18/1986 12:17,10/18/1986 15:05,188,3,NA,500,0.011148365,NA,185
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369484,49.397166,-123.676,10/19/1986 7:36,10/19/1986 9:56,174,3,NA,500,0.011148365,NA,92
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369491,49.3625,-124.320833,10/20/1986 9:54,10/20/1986 12:40,124,3,NA,500,0.011148365,NA,86
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369493,49.359166,-124.2925,10/20/1986 13:20,10/20/1986 16:35,225,3,NA,500,0.011148365,NA,57
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369500,49.483,-124.660166,10/21/1986 15:53,10/21/1986 18:13,97,3,NA,500,0.011148365,10,17
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369501,49.635666,-124.641166,10/22/1986 7:31,10/22/1986 9:48,101,3,NA,500,0.011148365,NA,186
76,Strait of Georgia Dogfish Longline,453,2014 Strait of Georgia Dogfish Longline Survey,2014,3420650,49.981766,-125.08665,10/4/2014 9:12,10/4/2014 11:11,236,1,2,300,0.006689019,NA,196
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369506,49.674666,-124.623166,10/22/1986 15:02,10/22/1986 17:20,265,3,NA,500,0.011148365,NA,78
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369508,49.75,-124.932166,10/23/1986 9:22,10/23/1986 12:15,22,3,NA,500,0.011148365,NA,140
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369510,49.819333,-124.886666,10/23/1986 14:10,10/23/1986 16:32,245,3,NA,500,0.011148365,NA,133
